Lane, Study number,Accession,Contig Accession number,Species ,Kingdom,Phylum,Class,Order,Family,Genus,LEE,LEE_Type,Continet,Country,DataBase,OAnt,Linked.Serotype,Reference.For.Linked.Serotype,Pathovar,Wild.Hosts,Phylogroup_N,ST,aaiC,aap,aar,aatA,agg,ailA,air,astA,capU,cba,cdtB,celb,cif,cma,cnf1,eae,efa1,ehxA,eilA,esp,etpD,f17,gad,iha,IpfA,ireA,iroN,iss,katP,ltcA,mch,mcmA,nle,pic,sat,senB,sepA,sfaS,stx,tccP,tir,vat,mdf.A.,mph.A,fosA,fosA7,sul1,sul2,tet.A.,tet.B.,aac.3..Via,aadA1,aadA5,aph.3...Ia,aph.3....Ib,aph.6..Id,blaTEM.1B,catA1,dfrA8,dfrA17,Nalidixic.acid.Ciprofloxacin,Erythromycin.Azithromycin.Telithromycin,Number.of.contigs,N50.value,Number of total reads,X%of Reads Unclassified,X%of Reads Escherichia coli,Ampicillin,Cefotaxime,Ceftazidime,Cefuroxime,Cephalothin,Ciprofloxacin,Gentamycin,Tobramycin,Trimethoprim
24742_1#60, PRJEB23294,ERS1995026, CAJGHG010000001-CAJGHG010000112 ,Canis latrans,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,LEE,LEE3,North America,Mexico,Souza,O55,O55:H7,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/655588/Escherichia_coli_O55H7_outbreak_in_Dorset.pdf,EPEC,Wild,E,335,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,8,866127,1.38,68.55,R,S,S,S,S,S,S,S,S
24742_1#309, PRJEB23294,ERS1995002, CAJGES010000001-CAJGES010000132 ,Canis latrans,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,LEE,LEE3,North America,Mexico,Souza,O55,O55:H7,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/655588/Escherichia_coli_O55H7_outbreak_in_Dorset.pdf,EPEC,Wild,E,335,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,10,841094,1.08,69.24,R,S,S,S,S,S,S,S,S
24742_1#70, PRJEB23294,ERS1995033, CAJGHF010000001-CAJGHF010000034 ,Didelphis virginiana,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,NF,NF,North America,Mexico,Souza,O54,O54:H2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC86328/,STEC,Wild,NF,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,1038836,1.35,47.76,R,S,S,S,S,S,S,S,S
24742_1#64, PRJEB23294,ERS1995006, CAJGER010000001-CAJGER010000043 ,Didelphis virginiana,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,NF,NF,North America,Mexico,Souza,O54,O54:H2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC86328/,STEC,Wild,NF,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,827029,1.41,47.71,R,S,S,S,S,S,S,S,S
25964_1#247, PRJEB23294,ERS2428370, CAJGEU010000001-CAJGEU010000117 ,Procyon lotor,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,NF,NF,North America,Mexico,Souza,O5,O5:H11,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-765X.2010.02904.x,STEC,Wild,A,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,18,1263433,3.27,55.48,S,S,S,S,S,S,S,S,S
24742_1#118, PRJEB23294,ERS1995088, CAJGET010000001-CAJGET010000123 ,Procyon lotor,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,NF,NF,North America,Mexico,Souza,O5,O5:H11,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-765X.2010.02904.x,STEC,Wild,A,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,18,860886,3.49,53.88,S,S,S,S,S,S,S,S,S
25964_1#159, PRJEB23294,ERS2428282, CAJGEZ010000001-CAJGEZ010000048 ,Lutra longicaudis,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,NF,NF,North America,Mexico,Souza,O48,O48:H7,https://www.ncbi.nlm.nih.gov/pubmed/17292501,STEC,Zoo,B1,4282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,6,1053566,1.21,49.78,R,S,S,S,S,S,S,S,S
24742_1#315, PRJEB23294,ERS1995045, CAJGFA010000001-CAJGFA010000021 ,Ovis aries,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,NF,NF,North America,Mexico,Souza,O46-Gp6,O46-Gp6:H34,No report,NF,Close to City,B2,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,694735,1.51,88.61,R,S,S,S,S,S,S,S,S
24742_1#316, PRJEB23294,ERS1995051, CAJGEX010000001-CAJGEX010000063 ,Nasua narica,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,NF,NF,North America,Mexico,Souza,O39,O39:H28,https://jcm.asm.org/content/38/4/1684,STEC,Wild,B1,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,7,706324,0.96,47.99,R,S,S,S,S,S,S,S,S
27970_1#342, PRJEB23294,ERS2909648, CAJGEW010000001-CAJGEW010000099 ,Ateles geoffroyi,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,LEE,LEE2,North America,Mexico,Souza,O36,O36:H52,No report,NF,Wild,NF,8973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7,908162,3.31,78.76,R,S,S,S,S,S,S,S,S
25964_1#199, PRJEB23294,ERS2428322, CAJGFC010000001-CAJGFC010000572 ,Ovis aries,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,LEE,LEE3,North America,Mexico,Souza,O33,O33:H6,NF,EPEC,Close to City,B2,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,47,1123897,1.32,88.91,R,S,S,S,S,S,S,S,S
25964_1#184, PRJEB23294,ERS2428307, CAJGEV010000001-CAJGEV010000041 ,Artibeus sp.,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,LEE,LEENF,NF,NF,Souza,O33,O33:H6,NF,EPEC,NF,B2,2360,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,1031166,0.89,88.37,R,S,S,S,S,S,S,S,S
24742_1#75, PRJEB23294,ERS1995039, CAJGFB010000001-CAJGFB010000141 ,Mus musculus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,LEE,LEE2,North America,Mexico,Souza,O26,O26:H11,https://aem.asm.org/content/75/21/6947,EHEC,City,B1,29,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,0,0,1,1,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,178,14,761875,2.17,52.72,R,S,S,S,S,S,S,S,S
24742_1#50, PRJEB23294,ERS1994999, CAJGFF010000001-CAJGFF010000180 ,Sus scrofa domesticus,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,LEE,LEE2,NF,NF,Souza,O26,O26:H11,https://aem.asm.org/content/75/21/6947,EHEC,NF,B1,29,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,0,0,2,1,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,14,719057,2.08,52.73,S,S,S,S,S,S,S,S,S
24742_1#305, PRJEB23294,ERS1995027, CAJGFF010000001-CAJGFF010000180 ,Dasypus sp.,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,NF,NF,NF,NF,Souza,O21,O21:H16,https://www.academia.edu/28658911/Molecular_Characterization_of_Shiga_Toxin-Producing_Escherichia_coli_Isolated_from_the_Environment_of_a_Dairy_Farm,STEC,Wild,A,2739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,129,15,488248,1.26,55.51,S,S,S,S,S,S,S,S,S
24742_1#306, PRJEB23294,ERS1995028,CAJHCO010000001-CAJHCO010000146,Odocoeileus virginianus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,NF,NF,North America,Mexico,Souza,O185,O185:H8,No report,NF,Wild,B1,2522,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,21,724516,2.47,48.58,R,S,S,S,S,S,S,S,S
24742_1#84, PRJEB23294,ERS1995050, CAJGVO010000001-CAJGVO010000084 ,Liomys pictus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Heteromys,NF,NF,North America,Mexico,Souza,O175,O175:H4,https://pdfs.semanticscholar.org/e68a/a2b58c538c6e5745df5036235d4fc9086b5c.pdf,STEC,Wild,B1,200,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,11,769012,2.29,49.75,R,S,S,S,S,S,S,S,S
24742_1#79, PRJEB23294,ERS1995043, CAJGFE010000001-CAJGFE010000076 ,Liomys pictus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Heteromys,NF,NF,North America,Mexico,Souza,O175,O175:H31,https://watermark.silverchair.com/dkx301.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAj0wggI5BgkqhkiG9w0BBwagggIqMIICJgIBADCCAh8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMRWZ_eaZL6LNkqy0uAgEQgIIB8JbScS4BItFzgwzoTeJh5IgA3RYVo9pKeviTnwtOzljJ-A7WULHwaoOh1LH4OzYqqvVsc-84WPZvRVojQH7brvbx32QpakqMLRBvFq-SFET-F43PcCOYg8rWL1NR150in_FicE2wPP-GIW0PH1cI7L8LHlWZzKJcaErvaA3_dema26Zxh5lllzEKByd0dvaqdNadosuwTRuXxo9ekobut75kXTWbM51GokgrlqwzAZFdExCPAMpE4Kw7FGrP1N8K7QmAK_z1mgqLKASGDWX8iMan0ufJf3_HKJdHYH9ZRl946sj3cYWR0vlzMK_BvLmS4niqjsFNrNcS4g1NX9JlK7qo8YDClEH9e6H384Bxrn5ojLa3_b5xxZDBsZKJsreqWmd7VADyXw1a_pbJYSEgvRWmpMGFs6PjUlCDDq07wNSN8GR-AJDWCUX-57oJw0GzIJFlD0kVW5akcMO7Y3UMoAv3Xgpsc21Con_KOEIsoBepZs7EFavkwH4V70npPDaf9cEUFtiQJvp2xBBFiUC6Meu1_IUr0EHKZ_2xCMmPGXTH_04aWoTrMnXmj5fQY3lOvSiWLg7UmVHAJD2tw8RkC42BD1xkzs2tvemqpC2YNLM9rhSF_dPfpS_VwUAQAjLZx6XLovuKWYDGzmejV35dCf8,EAEC,Wild,B1,200,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,12,775035,2.4,49.84,R,S,S,S,S,S,S,S,S
24742_1#317, PRJEB23294,ERS1995054, CAJGHJ010000001-CAJGHJ010000081 ,Liomys pictus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Heteromys,NF,NF,North America,Mexico,Souza,O175,O175:H31,No report,NF,Wild,B1,200,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,11,920821,2.25,49.79,R,S,S,S,S,S,S,S,S
27970_1#250, PRJEB23294,ERS2909710, CAJGFN010000001-CAJGFN010000037 ,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,NF,NF,North America,Mexico,Souza,O170,O170:H7,https://www.researchgate.net/figure/Relacion-clonal-de-aislamientos-de-E-coli-O157-de-diferentes-fuentes_fig1_277338491,STEC,Wild,B1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,1088702,2.4,48.6,R,S,R,S,S,S,S,S,S
24742_1#68, PRJEB23294,ERS1995011, CAJGFK010000001-CAJGFK010000037 ,Didelphis virginiana,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,NF,NF,North America,Mexico,Souza,O170,O170:H7,https://www.researchgate.net/figure/Relacion-clonal-de-aislamientos-de-E-coli-O157-de-diferentes-fuentes_fig1_277338492,STEC,Wild,B1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,781588,0.53,49.38,R,S,S,S,S,S,S,S,S
24742_1#66, PRJEB23294,ERS1995009, CAJGWM010000001-CAJGWM010000034 ,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,NF,NF,North America,Mexico,Souza,O170,O170:H7,https://www.researchgate.net/figure/Relacion-clonal-de-aislamientos-de-E-coli-O157-de-diferentes-fuentes_fig1_277338490,STEC,Wild,B1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,817527,1.17,49.37,S,S,R,S,S,S,S,S,S
24742_1#312, PRJEB23294,ERS1995032, CAJGFJ010000001-CAJGFJ010000035 ,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,NF,NF,North America,Mexico,Souza,O170,O170:H7,https://www.researchgate.net/figure/Relacion-clonal-de-aislamientos-de-E-coli-O157-de-diferentes-fuentes_fig1_277338489,STEC,Wild,B1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,750930,1.03,49.47,R,S,R,S,S,S,S,S,S
27970_1#156, PRJEB23294,ERS2909686, CAJGFD010000001-CAJGFD010000038 ,Canis latrans,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,NF,NF,North America,Mexico,Souza,O17-O77-Gp9,O17-O77-Gp9:H18,https://academic.oup.com/femsle/article/256/2/251/631776,EAEC,Wild,D,106,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,40,4,1084815,1.21,81.81,R,S,S,S,S,S,R,R,S
27970_1#122, PRJEB23294,ERS2909678, CAJGFG010000001-CAJGFG010000040 ,Canis latrans,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,NF,NF,North America,Mexico,Souza,O17-O77-Gp9,O17-O77-Gp9:H18,https://academic.oup.com/femsle/article/256/2/251/631776,EAEC,Wild,D,106,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,44,4,989084,1.18,80.43,R,S,S,S,S,S,R,R,S
25964_1#238, PRJEB23294,ERS2428361, CAJGFL010000001-CAJGFL010000039 ,Atlapetes brunneinucha,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Arremon,NF,NF,North America,Mexico,Souza,O17-O77-Gp9,O17-O77-Gp9:H4,No report,NF,Wild,D,4288,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,3,1253933,3.71,80.86,S,S,S,S,S,S,S,S,S
25964_1#152, PRJEB23294,ERS2428275, CAJGVL010000001-CAJGVL010000037 ,Aquila chrysaetus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,NF,NF,North America,Mexico,Souza,O17-O77-Gp9,O17-O77-Gp9:H18,https://academic.oup.com/femsle/article/256/2/251/631776,EAEC,Wild,D,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,1147747,1.94,85.72,S,S,S,S,S,S,S,S,S
25964_1#118, PRJEB23294,ERS2428241, CAJGFM010000001-CAJGFM010000037 ,Henicorhina leucophrys,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Henicorhina,NF,NF,North America,Mexico,Souza,O17-O77-Gp9,O17-O77-Gp9:H52,No report,NF,Wild,D,4288,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,3,1153439,3.55,81.05,S,S,S,S,S,S,S,S,S
24742_1#78, PRJEB23294,ERS1995042, CAJGFI010000001-CAJGFI010000071 ,Gallus gallus,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,NF,NF,NF,NF,Souza,O17-O77-Gp9,O17-O77-Gp9:H18,https://academic.oup.com/femsle/article/256/2/251/631776,EAEC,NF,D,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,79,6,955502,0.13,85.92,R,S,S,S,S,S,S,S,R
24742_1#67, PRJEB23294,ERS1995010, CAJGHD010000001-CAJGHD010000055 ,Canis latrans,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,NF,NF,North America,Mexico,Souza,O17-O77-Gp9,O17-O77-Gp9:H18,https://academic.oup.com/femsle/article/256/2/251/631776,EAEC,Wild,D,106,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,57,5,868269,1.18,82.73,R,S,S,S,S,S,R,R,S
24742_1#24, PRJEB23294,ERS1994969, CAJGFH010000001-CAJGFH010000040 ,Urocyon cinereoargenteus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,NF,NF,North America,Mexico,Souza,O17-O77-Gp9,O17-O77-Gp9:H18,https://academic.oup.com/femsle/article/256/2/251/631776,EAEC,Wild,D,130,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,715368,1.53,83,R,S,S,S,S,S,S,S,S
24742_1#106, PRJEB23294,ERS1995076, CAJGFP010000001-CAJGFP010000045 ,Sigmodon mascotensis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,NF,NF,North America,Mexico,Souza,O17-O77-Gp9,O17-O77-Gp9:H18,https://academic.oup.com/femsle/article/256/2/251/631776,EAEC,Wild,D,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,708924,1.52,85.93,S,S,S,S,S,S,S,S,S
24742_1#299, PRJEB23294,ERS1994988, CAJGFO010000001-CAJGFO010000058 ,Ovis aries,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,NF,NF,North America,Mexico,Souza,O166,O166:H15,https://www.researchgate.net/publication/11266087_An_outbreak_of_gastroenteritis_in_Osaka_Japan_due_to_Escherichia_coli_serogroup_O166_H15_that_had_a_coding_gene_for_enteroaggregative_E-coli_heat-stable_enterotoxin_1_EAST1,NF,Close to City,D,2337,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,5,803059,2.47,77.06,S,S,S,S,S,S,S,S,S
25964_1#151, PRJEB23294,ERS2428274, CAJGHA010000001-CAJGHA010000028 ,Lutra longicaudis,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,NF,NF,North America,Mexico,Souza,O163,O163:H30,No report,NF,Zoo,NF,2074,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,1343512,1.36,53.14,S,S,S,S,S,S,S,S,S
25964_1#207, PRJEB23294,ERS2428330, CAJGFQ010000001-CAJGFQ010000056 ,Panthera onca,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,LEE,LEE3,NF,NF,Souza,O159,O159:H46,No report,NF,Wild,NF,2338,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7,1282251,1.27,50.48,R,S,S,S,S,S,S,S,S
24742_1#62, PRJEB23294,ERS1995004, CAJGFT010000001-CAJGFT010000072 ,Panthera onca,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,LEE,LEE3,North America,Mexico,Souza,O159,O159:H52,No report,NF,Wild,NF,2338,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,10,858313,1.09,49.28,R,S,S,S,S,S,S,S,S
25964_1#200, PRJEB23294,ERS2428323, CAJGWF010000001-CAJGWF010000116 ,Sylvilagus sp.,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,NF,NF,North America,Mexico,Souza,O154,O154:H4,https://www.frontiersin.org/articles/10.3389/fmicb.2018.02373/full,STEC,Wild,A,3337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,18,1163474,2.13,57.05,S,S,S,S,S,S,S,S,S
24742_1#59, PRJEB23294,ERS1995025,CAJHCM010000001-CAJHCM010000065,Basileuterus belli,Animalia,Chordata,Aves,Passeriformes,Parulidae,Basileuterus,NF,NF,North America,Mexico,Souza,O153var2,O153var2:H10,https://www.ncbi.nlm.nih.gov/pubmed/26905492,EPEC,Wild,B1,3858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,8,886140,2.92,47.76,R,S,S,S,S,S,S,S,S
24742_1#42, PRJEB23294,ERS1994991, CAJGVR010000001-CAJGVR010000056 ,Sula nebouxi,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,NF,NF,North America,Mexico,Souza,O153var2,O153var2:H10,https://www.ncbi.nlm.nih.gov/pubmed/26905491,EPEC,Wild,B1,3858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10,764539,2.96,47.69,R,S,S,S,S,S,S,S,S
